S_INFO_WINDCODE,ETF_CLASS_NAME,FUND_NAME,FUND_FULLNAME,FUND_MANAGER,S_INFO_INDEXWINDCODE,ENTRY_DT,REMOVE_DT
159229.SZ,股票型ETF,自由现金流ETF广发,广发中证800自由现金流交易型开放式指数证券投资基金,广发基金,932368.CSI,20250506,
159229.SZ,策略指数ETF,自由现金流ETF广发,广发中证800自由现金流交易型开放式指数证券投资基金,广发基金,932368.CSI,20250506,
159221.SZ,策略指数ETF,现金流ETF嘉实,嘉实国证自由现金流交易型开放式指数证券投资基金,嘉实基金,980092.CNI,20250430,
159221.SZ,股票型ETF,现金流ETF嘉实,嘉实国证自由现金流交易型开放式指数证券投资基金,嘉实基金,980092.CNI,20250430,
159236.SZ,股票型ETF,自由现金流ETF工银,工银瑞信中证全指自由现金流交易型开放式指数证券投资基金,工银瑞信基金,932365.CSI,20250430,
159236.SZ,策略指数ETF,自由现金流ETF工银,工银瑞信中证全指自由现金流交易型开放式指数证券投资基金,工银瑞信基金,932365.CSI,20250430,
563680.SH,股票型ETF,800自由现金流ETF,汇添富中证800自由现金流交易型开放式指数证券投资基金,汇添富基金,932368.CSI,20250430,
563680.SH,策略指数ETF,800自由现金流ETF,汇添富中证800自由现金流交易型开放式指数证券投资基金,汇添富基金,932368.CSI,20250430,
563780.SH,股票型ETF,现金流全指ETF,方正富邦中证全指自由现金流交易型开放式指数证券投资基金,方正富邦基金,932365.CSI,20250430,
563780.SH,策略指数ETF,现金流全指ETF,方正富邦中证全指自由现金流交易型开放式指数证券投资基金,方正富邦基金,932365.CSI,20250430,
159227.SZ,行业指数ETF,航空航天ETF,华夏国证航天航空行业交易型开放式指数证券投资基金,华夏基金,CN5082.CNI,20250430,
159227.SZ,股票型ETF,航空航天ETF,华夏国证航天航空行业交易型开放式指数证券投资基金,华夏基金,CN5082.CNI,20250430,
159392.SZ,股票型ETF,航空ETF,富国国证通用航空产业交易型开放式指数证券投资基金,富国基金,980076.CNI,20250430,
159392.SZ,主题指数ETF,航空ETF,富国国证通用航空产业交易型开放式指数证券投资基金,富国基金,980076.CNI,20250430,
159220.SZ,跨境策略指数ETF,港股通红利ETF,华宝标普港股通低波红利交易型开放式指数证券投资基金,华宝基金,SPAHLVHP.SPI,20250429,
159220.SZ,跨境ETF,港股通红利ETF,华宝标普港股通低波红利交易型开放式指数证券投资基金,华宝基金,SPAHLVHP.SPI,20250429,
561870.SH,策略指数ETF,自由现金流ETF全指,华富中证全指自由现金流交易型开放式指数证券投资基金,华富基金,932365.CSI,20250429,
561870.SH,股票型ETF,自由现金流ETF全指,华富中证全指自由现金流交易型开放式指数证券投资基金,华富基金,932365.CSI,20250429,
159208.SZ,股票型ETF,航天航空ETF,万家国证航天航空行业交易型开放式指数证券投资基金,万家基金,CN5082.CNI,20250428,
159208.SZ,行业指数ETF,航天航空ETF,万家国证航天航空行业交易型开放式指数证券投资基金,万家基金,CN5082.CNI,20250428,
589980.SH,股票型ETF,科创100ETF汇添富,汇添富上证科创板100交易型开放式指数证券投资基金,汇添富基金,000698.SH,20250425,
589980.SH,规模指数ETF,科创100ETF汇添富,汇添富上证科创板100交易型开放式指数证券投资基金,汇添富基金,000698.SH,20250425,
563900.SH,策略指数ETF,沪深300自由现金流ETF摩根,摩根沪深300自由现金流交易型开放式指数证券投资基金,摩根基金,932366.CSI,20250424,
563900.SH,股票型ETF,沪深300自由现金流ETF摩根,摩根沪深300自由现金流交易型开放式指数证券投资基金,摩根基金,932366.CSI,20250424,
159219.SZ,规模指数ETF,深证100ETF融通,融通深证100交易型开放式指数证券投资基金,融通基金,399330.SZ,20250424,
159219.SZ,股票型ETF,深证100ETF融通,融通深证100交易型开放式指数证券投资基金,融通基金,399330.SZ,20250424,
159232.SZ,策略指数ETF,自由现金流ETF南方,南方中证全指自由现金流交易型开放式指数证券投资基金,南方基金,932365.CSI,20250423,
159232.SZ,股票型ETF,自由现金流ETF南方,南方中证全指自由现金流交易型开放式指数证券投资基金,南方基金,932365.CSI,20250423,
563390.SH,策略指数ETF,现金流ETF全指,华泰柏瑞中证全指自由现金流交易型开放式指数证券投资基金,华泰柏瑞基金,932365.CSI,20250423,
563390.SH,股票型ETF,现金流ETF全指,华泰柏瑞中证全指自由现金流交易型开放式指数证券投资基金,华泰柏瑞基金,932365.CSI,20250423,
159382.SZ,股票型ETF,创业板人工智能ETF南方,南方创业板人工智能交易型开放式指数证券投资基金,南方基金,970070.CNI,20250423,
159382.SZ,主题指数ETF,创业板人工智能ETF南方,南方创业板人工智能交易型开放式指数证券投资基金,南方基金,970070.CNI,20250423,
561080.SH,股票型ETF,自由现金流ETF中证全指,华安中证全指自由现金流交易型开放式指数证券投资基金,华安基金,932365.CSI,20250423,
561080.SH,策略指数ETF,自由现金流ETF中证全指,华安中证全指自由现金流交易型开放式指数证券投资基金,华安基金,932365.CSI,20250423,
159235.SZ,策略指数ETF,中证现金流ETF,大成中证全指自由现金流交易型开放式指数证券投资基金,大成基金,932365.CSI,20250423,
159235.SZ,股票型ETF,中证现金流ETF,大成中证全指自由现金流交易型开放式指数证券投资基金,大成基金,932365.CSI,20250423,
159213.SZ,股票型ETF,机器人ETF基金,汇添富中证机器人交易型开放式指数证券投资基金,汇添富基金,h30590.CSI,20250421,
159213.SZ,主题指数ETF,机器人ETF基金,汇添富中证机器人交易型开放式指数证券投资基金,汇添富基金,h30590.CSI,20250421,
159231.SZ,股票型ETF,通用航空ETF华宝,华宝国证通用航空产业交易型开放式指数证券投资基金,华宝基金,980076.CNI,20250418,
159231.SZ,主题指数ETF,通用航空ETF华宝,华宝国证通用航空产业交易型开放式指数证券投资基金,华宝基金,980076.CNI,20250418,
516460.SH,股票型ETF,现金流ETF800,鹏华中证800自由现金流交易型开放式指数证券投资基金,鹏华基金,932368.CSI,20250417,
516460.SH,策略指数ETF,现金流ETF800,鹏华中证800自由现金流交易型开放式指数证券投资基金,鹏华基金,932368.CSI,20250417,
510320.SH,规模指数ETF,沪深300ETF中金,中金沪深300交易型开放式指数证券投资基金,中金基金,000300.SH,20250416,
510320.SH,股票型ETF,沪深300ETF中金,中金沪深300交易型开放式指数证券投资基金,中金基金,000300.SH,20250416,
563700.SH,策略指数ETF,红利价值ETF,易方达中证红利价值交易型开放式指数证券投资基金,易方达基金,h30270.CSI,20250416,
563700.SH,股票型ETF,红利价值ETF,易方达中证红利价值交易型开放式指数证券投资基金,易方达基金,h30270.CSI,20250416,
588850.SH,主题指数ETF,科创机械ETF,嘉实上证科创板工业机械交易型开放式指数证券投资基金,嘉实基金,000693.SH,20250416,
588850.SH,股票型ETF,科创机械ETF,嘉实上证科创板工业机械交易型开放式指数证券投资基金,嘉实基金,000693.SH,20250416,
563990.SH,股票型ETF,800现金流ETF,富国中证800自由现金流交易型开放式指数证券投资基金,富国基金,932368.CSI,20250416,
563990.SH,策略指数ETF,800现金流ETF,富国中证800自由现金流交易型开放式指数证券投资基金,富国基金,932368.CSI,20250416,
589300.SH,规模指数ETF,科创综指ETF嘉实,嘉实上证科创板综合交易型开放式指数证券投资基金,嘉实基金,000680.SH,20250409,
589300.SH,股票型ETF,科创综指ETF嘉实,嘉实上证科创板综合交易型开放式指数证券投资基金,嘉实基金,000680.SH,20250409,
159222.SZ,股票型ETF,自由现金流ETF易方达,易方达国证自由现金流交易型开放式指数证券投资基金,易方达基金,980092.CNI,20250409,
159222.SZ,策略指数ETF,自由现金流ETF易方达,易方达国证自由现金流交易型开放式指数证券投资基金,易方达基金,980092.CNI,20250409,
159225.SZ,股票型ETF,现金流ETF基金,银华国证自由现金流交易型开放式指数证券投资基金,银华基金,980092.CNI,20250409,
159225.SZ,策略指数ETF,现金流ETF基金,银华国证自由现金流交易型开放式指数证券投资基金,银华基金,980092.CNI,20250409,
562080.SH,策略指数ETF,300现金流ETF,华宝沪深300自由现金流交易型开放式指数证券投资基金,华宝基金,932366.CSI,20250407,
562080.SH,股票型ETF,300现金流ETF,华宝沪深300自由现金流交易型开放式指数证券投资基金,华宝基金,932366.CSI,20250407,
159391.SZ,风格指数ETF,大盘价值ETF,博时国证大盘价值交易型开放式指数证券投资基金,博时基金,399373.SZ,20250403,
159391.SZ,股票型ETF,大盘价值ETF,博时国证大盘价值交易型开放式指数证券投资基金,博时基金,399373.SZ,20250403,
512250.SH,股票型ETF,中证A50ETF招商,招商中证A50交易型开放式指数证券投资基金,招商基金,930050.CSI,20250403,
512250.SH,规模指数ETF,中证A50ETF招商,招商中证A50交易型开放式指数证券投资基金,招商基金,930050.CSI,20250403,
588040.SH,股票型ETF,科创50ETF指数,鹏华上证科创板50成份交易型开放式指数证券投资基金,鹏华基金,000688.SH,20250403,
588040.SH,规模指数ETF,科创50ETF指数,鹏华上证科创板50成份交易型开放式指数证券投资基金,鹏华基金,000688.SH,20250403,
159202.SZ,跨境ETF,恒生互联网科技ETF,万家恒生互联网科技业交易型开放式指数证券投资基金(QDII),万家基金,HSIII.HI,20250402,
159202.SZ,跨境行业指数ETF,恒生互联网科技ETF,万家恒生互联网科技业交易型开放式指数证券投资基金(QDII),万家基金,HSIII.HI,20250402,
159366.SZ,跨境ETF,港股医疗ETF,永赢中证港股通医疗主题交易型开放式指数证券投资基金,永赢基金,932069.CSI,20250402,
159366.SZ,跨境主题指数ETF,港股医疗ETF,永赢中证港股通医疗主题交易型开放式指数证券投资基金,永赢基金,932069.CSI,20250402,
