date,ivix
2018-11-09,27.316
2018-11-12,27.316
2018-11-13,27.316
2018-11-14,27.316
2018-11-15,27.316
2018-11-16,27.316
2018-11-19,27.316
2018-11-20,27.316
2018-11-21,27.316
2018-11-22,27.316
2018-11-23,27.316
2018-11-26,27.316
2018-11-27,27.316
2018-11-28,27.316
2018-11-29,27.316
2018-11-30,27.316
2018-12-03,27.316
2018-12-04,27.316
2018-12-05,27.316
2018-12-06,27.316
2018-12-07,27.316
2018-12-10,27.316
2018-12-11,27.316
2018-12-12,27.316
2018-12-13,27.316
2018-12-14,27.316
2018-12-17,27.316
2018-12-18,27.316
2018-12-19,27.316
2018-12-20,27.316
2018-12-21,27.316
2018-12-24,27.316
2018-12-25,27.316
2018-12-26,27.316
2018-12-27,27.316
2018-12-28,27.316
2019-01-02,27.316
2019-01-03,27.316
2019-01-04,27.316
2019-01-07,27.316
2019-01-08,27.316
2019-01-09,27.316
2019-01-10,27.316
2019-01-11,27.316
2019-01-14,27.316
2019-01-15,27.316
2019-01-16,27.316
2019-01-17,27.316
2019-01-18,27.316
2019-01-21,27.316
2019-01-22,27.316
2019-01-23,27.316
2019-01-24,27.316
2019-01-25,27.316
2019-01-28,27.316
2019-01-29,27.316
2019-01-30,27.316
2019-01-31,27.316
2019-02-01,27.316
2019-02-11,27.316
2019-02-12,27.316
2019-02-13,27.316
2019-02-14,27.316
2019-02-15,27.316
2019-02-18,27.316
2019-02-19,27.316
2019-02-20,27.316
2019-02-21,27.316
2019-02-22,27.316
2019-02-25,27.316
2019-02-26,27.316
2019-02-27,27.316
2019-02-28,27.316
2019-03-01,27.316
2019-03-04,27.316
2019-03-05,27.316
2019-03-06,27.316
2019-03-07,27.316
2019-03-08,27.316
2019-03-11,27.316
2019-03-12,27.316
2019-03-13,27.316
2019-03-14,27.316
2019-03-15,27.316
2019-03-18,27.316
2019-03-19,27.316
2019-03-20,27.316
2019-03-21,27.316
2019-03-22,27.316
2019-03-25,27.316
2019-03-26,27.316
2019-03-27,27.316
2019-03-28,27.316
2019-03-29,27.316
2019-04-01,27.316
2019-04-02,27.316
2019-04-03,27.316
2019-04-04,27.316
2019-04-08,27.316
2019-04-09,27.316
2019-04-10,27.316
2019-04-11,27.316
2019-04-12,27.316
2019-04-15,27.316
2019-04-16,27.316
